Ordem;Família;Material;#;Stock inical;nº NE's;UN
305;DIV;CAIXA DE AGRAFOS TIPO G 10MM_1000UN;35;4;1;UN
306;DIV;CAIXA DE AGRAFOS TIPO G 8MM_1000UN;34;4;1;UN
307;ELE;CAIXA DE APARELHO DE EMBUTIR NORMAL;35;0;1;UN
308;DIV;CAIXA DE BICO 10L CINZA C/ 280 (H) X 350 (C) X 160 (L)MM;56;10;1;UN
309;DIV;CAIXA DE BICO 1L VERMELHA C/ 83 (H) X 165 (C) X 103 (L)MM;57;6;1;UN
310;DIV;CAIXA DE BICO 4L VERDE C/ 250 (H) X 150 (C) X 130 (L)MM;55;8;1;UN
311;FER;CAIXA DE BITS_ TIPO MAKITA B-66880;34;0;1;UN
312;ELE;CAIXA DE CABO UTP CAT 6 (305M UNIDADE);38;271;2;UN
313;DIV;CAIXA DE CORREIO;16;0;0;UN
314;CAR;CAIXA DE DISCOS ABRASIVOS 125MM 8 FUROS HI P100 P/ LIXADEIRA ROTATIVA_ TIPO INDASA ;83;190;2;UN
315;CAR;CAIXA DE DISCOS ABRASIVOS 125MM 8 FUROS HI P120 P/ LIXADEIRA ROTATIVA_ TIPO INDASA ;83;180;2;UN
316;CAR;CAIXA DE DISCOS ABRASIVOS 125MM 8 FUROS HI P150 P/ LIXADEIRA ROTATIVA_ TIPO INDASA ;83;200;2;UN
317;CAR;CAIXA DE DISCOS ABRASIVOS 125MM 8 FUROS HI P60 P/ LIXADEIRA ROTATIVA_ TIPO INDASA ;82;200;2;UN
318;CAR;CAIXA DE DISCOS ABRASIVOS 125MM 8 FUROS HI P80 P/ LIXADEIRA ROTATIVA_ TIPO INDASA ;82;200;2;UN
319;DIV;CAIXA DE LAMINAS PARA X'ACTO DE 18MM GAMA PRO;45;9;3;UN
320;DIV;CAIXA DE LAMINAS PARA X'ACTO DE 25MM GAMA PRO;45;2;1;UN
321;MFE;CAIXA DE MANUTENÇÃO REBITES ALUMÍNIO MULTIPLAS MEDIDAS TIPO FACOM Y.RIV1 OU EXPERT;82;0;0;UN
322;PICH;CAIXA DE PASSADOR PPR 25 X 1/2 X 25;35;10;1;UN
323;ELE;CAIXA DERIVAÇÃO CINZENTA 80X80X50;33;5;1;UN
324;ELE;CAIXA ENCASTRAVEL DE TOMADA SHUCKO PARA CALHA 110X50_ TIPO EFAPEL;65;11;1;UN
325;ELE;CAIXA ESTANQUE CINZENTAS 220X170X80MM;37;0;1;UN
326;ELE;CAIXA ESTANQUE CINZENTAS 80X80MM;32;155;5;UN
327;ELE;CAIXA ESTANQUE CINZENTAS 80X80X30MM;35;10;1;UN
328;EPI'S;CAIXA LUVAS LATEX TAM - L (100UN);33;-100;1;UN
329;ELE;CAIXA PARA PLADUR 80 X 80 X 30MM BRANCA;39;20;1;UN
330;ELE;CAIXA QUADRADA ESTANQUE 115X115;31;12;1;UN
331;TRO;CAL HIDRÁULICA  - SACO DE 25KG;30;0;0;UN
332;FAR;CALÇA AV MULTINORMAS IGNIFUGA TAM - 42/44;41;0;0;UN
333;FAR;CALÇA AV MULTINORMAS IGNIFUGA TAM - 46/48;41;0;0;UN
334;FAR;CALÇA AV MULTINORMAS IGNIFUGA TAM - 50/52;41;0;0;UN
335;FAR;CALÇA AV MULTINORMAS IGNIFUGA TAM - 54/56;41;0;0;UN
336;FAR;CALÇA AV MULTINORMAS IGNIFUGA TAM - 58/60;41;0;0;UN
337;FAR;CALÇA BICOLOR AV TAM - 38;25;0;0;UN
338;FAR;CALÇA BICOLOR AV TAM - 40;25;0;0;UN
339;FAR;CALÇA BICOLOR AV TAM - 42;25;0;0;UN
340;FAR;CALÇA BICOLOR AV TAM - 44;25;0;0;UN
341;FAR;CALÇA BICOLOR AV TAM - 46;25;0;0;UN
342;FAR;CALÇA BICOLOR AV TAM - 48;25;0;0;UN
343;FAR;CALÇA BICOLOR AV TAM - 50;25;0;0;UN
344;FAR;CALÇA BICOLOR AV TAM - 52;25;0;0;UN
345;FAR;CALÇA IMPERMEÁVEL ELKA WORKING XTREME LIGHT TAM - L;51;0;0;UN
346;FAR;CALÇA IMPERMEÁVEL ELKA WORKING XTREME LIGHT TAM - M;51;0;0;UN
347;FAR;CALÇA IMPERMEÁVEL ELKA WORKING XTREME LIGHT TAM - S;51;0;0;UN
348;FAR;CALÇA IMPERMEÁVEL ELKA WORKING XTREME LIGHT TAM - XL;52;0;0;UN
349;FAR;CALÇA IMPERMEÁVEL ELKA WORKING XTREME LIGHT TAM - XXL;53;0;0;UN
350;FAR;CALÇA IMPERMEÁVEL IGNIFUGA TAM - L;34;0;1;UN
351;FAR;CALÇA IMPERMEÁVEL IGNIFUGA TAM - M;34;0;0;UN
352;FAR;CALÇA IMPERMEÁVEL IGNIFUGA TAM - XL;35;0;0;UN
353;PICH;CALÇÃO DE SANITA;16;8;1;UN
354;PICH;CALÇÃO DE SANITA EXCÊNTRICO 110 X 90 - 3CM;42;27;2;UN
355;DIV;CALÇO DE BORRACHA PARA CADEIRA REDONDO 25MM;43;400;1;UN
356;ELE;CALHA 110X50 EFAPEL;19;0;2;UN
357;ELE;CALHA 32X16 (2MTS-UN) BRANCA_ TIPO EFAPEL;41;20;1;UN
358;ELE;CALHA ALHETA 40X40;18;0;1;UN
359;ELE;CALHA ALHETA 60X40;18;0;1;UN
360;ELE;CALHA AUTOCOLANTE 32/16 (2MTS)_TIPO EFAPEL;42;527;3;UN
361;ELE;CALHA BRANCA 60X16 (2MTS-UN) BRANCA_TIPO EFAPEL;47;50;1;UN
362;ELE;CALHA DE ALHETAS PARA QUADROS ELÉTRICOS 40 X 40MM;49;40;1;UN
363;ELE;CALHA DE CHÃO 50X12 (2MTS-UN) CINZENTA_TIPO EFAPEL;50;14;1;UN
364;ELE;CALHA DE CHÃO 80X12 (2MTS-UN) CINZENTA_TIPO EFAPEL;50;7;1;UN
365;SER;"CALHA ZINCOR FORMATO L 40 X 12 (MEDIDAS INTERIORES) ESPESSURA 1,5 EM PEÇAS DE 2M DE COMPRIMENTO ( ANEXO ""ARTIGO 3.1_LOTE5"")";123;300;1;UN
366;SER;CALHA ZINCOR FORMATO L 60 X 12 (MEDIDAS INTERIORES) ESPESSURA 1,5 EM PEÇAS DE 2M DE COMPRIMENTO;95;150;1;UN
367;MAQ;"CÂMARA DE INSPECÇÃO TIPO  GIC 120 C + MALA L-BOXX + CARREGADOR E BATERIA BOSCH
ACRESCENTO DE CABO PARA 5 METROS";111;0;0;UN
368;MAQ;CÂMARA TERMOGRÁFICA FLUKE TI401 PRO;35;0;0;UN
369;ELE;CAMPAINHA AUXILIAR 12V;22;1;1;UN
370;ELE;CAMPAINHA AUXILIAR 230V;23;4;1;UN
371;ELE;CAMPAINHA AUXILIAR 24V;22;1;1;UN
372;ELE;CAMPAÍNHA ELETRONICA 2 ENTRADAS ELVOX 860A (RESPEITAR O PRODUTO INDICADO PORQUE TRATA-SE DE COMPLEMENTOS PARA EQUIPAMENTOS JÁ INSTALADOS);137;4;1;UN
373;ELE;CAMPANULA LED FLEX - 200W/5000K  SLIGHTING DO TIPO OSRAM;56;9;2;UN
374;ARR;CANAL PRETO PARA GRELHA ABS 125X1000MM;38;4;1;UN
375;DIV;CANETA AZUL;11;0;0;UN
376;FER;CANHÃO CILINDRICO CHAVE SEGURANÇA 30 X 30 MM;44;3;3;UN
377;FER;CANHÃO CILINDRO 30 X 50 DESCENTRADO;35;23;3;UN
378;FER;CANHÃO CILINDRO 30 X 70 DESCENTRADO;35;10;3;UN
379;SER;CANTONEIRA 20 X 20 X 3MM;24;30;1;UN
380;SER;CANTONEIRA 25 X 25 X 5MM;24;2;1;UN
381;SER;CANTONEIRA 30 X 30 X 5MM;24;52;1;UN
382;SER;CANTONEIRA 35 X 35 X 5MM;24;72;1;UN
383;SER;CANTONEIRA 40 X 40 X 5MM;24;42;1;UN
384;EPI'S;CAPACETE BRANCO;15;0;0;UN
385;EPI'S;CAPACETE FIELD;14;0;0;UN
386;MFE;"CARRINHO DE MÃO COM 1 RODA PNEUMATICA EM AÇO GALVANIZADO DE 65 LITROS_ ANEXO ""LOTE2_1.23_CARRO DE MÃO""";102;150;1;UN
387;MFE;"CARRO DE LAVOURA C/ 2 RODAS_ ANEXO ""LOTE2_1.24_CARRO DE LAVOURA""";64;200;1;UN
388;PICH;CARTUCHO P/MISTURADORA 25;25;24;1;UN
389;PICH;CARTUCHO P/MISTURADORA 35;25;18;2;UN
390;PICH;CARTUCHO P/MISTURADORA 40;25;27;1;UN
391;FAR;CASACO SOFTSHELL AV KIAMA MASCOT SAFE LIGHT TAM - L;51;0;0;UN
392;FAR;CASACO SOFTSHELL AV KIAMA MASCOT SAFE LIGHT TAM - M;51;0;0;UN
393;FAR;CASACO SOFTSHELL AV KIAMA MASCOT SAFE LIGHT TAM - S;51;0;0;UN
394;FAR;CASACO SOFTSHELL AV KIAMA MASCOT SAFE LIGHT TAM - XL;52;0;0;UN
395;FAR;CASACO SOFTSHELL AV KIAMA MASCOT SAFE LIGHT TAM - XXL;53;0;0;UN
396;FAR;CASACO SOFTSHELL IGNIFUGO MULTINORMAS PLAYFORD SIOEN TAM - L;60;0;0;UN
397;FAR;CASACO SOFTSHELL IGNIFUGO MULTINORMAS PLAYFORD SIOEN TAM - M;60;0;0;UN
398;FAR;CASACO SOFTSHELL IGNIFUGO MULTINORMAS PLAYFORD SIOEN TAM - S;60;0;0;UN
399;FAR;CASACO SOFTSHELL IGNIFUGO MULTINORMAS PLAYFORD SIOEN TAM - XL;61;0;0;UN
400;FAR;CASACO SOFTSHELL IGNIFUGO MULTINORMAS PLAYFORD SIOEN TAM - XXL;62;0;0;UN
401;PICH;"CASQUILHO CROMADO 1/2 "", 3CM";28;16;1;UN
402;PICH;CASQUILHO CROMADO 1/2 X 1/2 MACHO 4CM;37;64;2;UN
403;PICH;"CASQUILHO CROMADO 1/2"", 4CM";27;0;1;UN
404;PICH;"CASQUILHO CROMADO 3/4"", 3CM";27;14;1;UN
405;PICH;"CASQUILHO CROMADO 3/4"", 6CM";27;0;1;UN
406;PICH;CASQUILHO CROMADO DE REDUÇÃO 1/2 X 3/8, 2CM;43;0;1;UN
407;PICH;CASQUILHO CROMADO DE REDUÇÃO 1/2 X 3/8, 3CM;43;-1;1;UN
408;ELE;CASQUILHO E14;13;22;2;UN
409;ELE;CASQUILHO E27;13;173;3;UN
410;PICH;"CASQUILHO LATÃO DUPLO 1""";24;34;2;UN
411;PICH;"CASQUILHO LATÃO DUPLO 1/2""";26;2;2;UN
412;PICH;"CASQUILHO LATÃO DUPLO 3/4""";26;22;2;UN
413;PICH;"CASQUILHO PORCA  REDUÇÃO 1"" X 3/4 LATÃO";39;92;2;UN
414;PICH;CASQUILHO PORCA 1/2 X 3/8 CROMADO M/F;37;46;2;UN
415;PICH;CASQUILHO PORCA 3/4 X 1/2 CROMADO M/F;37;30;2;UN
416;PICH;"CASQUILHO PORCA REDUÇÃO 1"" X 1/2 LATÃO";38;0;1;UN
417;PICH;CASQUILHO PORCA REDUÇÃO 1/2X3/8 LATÃO;37;24;2;UN
418;PICH;CASQUILHO PORCA REDUÇÃO 3/4 X 1/2 LATÃO;39;10;2;UN
419;PICH;CASTELO 1/2;11;20;2;UN
420;PICH;CASTELO 3/4;11;25;2;UN
421;PICH;CASTELO CERÂMICO 1/4 DE VOLTA FRIO 1/2;38;19;2;UN
422;PICH;CASTELO CERÂMICO 1/4 DE VOLTA FRIO 3/4;38;20;2;UN
423;PICH;CASTELO CERÂMICO 1/4 DE VOLTA QUENTE 1/2;40;20;1;UN
424;PICH;CASTELO CERÂMICO 1/4 DE VOLTA QUENTE 3/4;40;20;1;UN
425;PICH;CASTELO P/TORNEIRA 1/2 ESTRIA FINA CURTA;40;0;1;UN
426;PICH;CASTELO P/TORNEIRA 1/2 ESTRIA FINA LONGA;40;18;1;UN
427;PICH;CASTELO P/TORNEIRA 1/2 ESTRIA GROSSA CURTA;42;14;2;UN
428;PICH;CASTELO P/TORNEIRA 1/2 ESTRIA GROSSA LONGA;42;20;1;UN
429;PICH;CASTELO PASSADOR CASA DE BANHO 1/2;34;30;2;UN
430;PICH;CASTELO PASSADOR PPR 1/2;24;0;0;UN
431;PICH;CASTELO PASSADOR PPR 3/4;24;0;1;UN
432;PICH;CASTELO PASSADOR PPR 32;23;13;1;UN
433;ELE;CELULAS DE TELEGESTÃO SCHRÉDER;30;0;1;UN
434;ELE;CENTRO DE RJ45 SERIE 7000 EFAPEL;32;0;1;UN
435;ELE;CENTRO DE RJ45 SERIE 9000 EFAPEL;32;5;1;UN
436;ELE;CENTRO DE TOMADA SERIE 7000 EFAPEL;34;172;3;UN
437;ELE;CENTRO DE TOMADA SERIE 9000 EFAPEL;34;45;2;UN
438;MFE;"CHAVE CANOS BICO PAPAGAIO 300 MM (16""), TIPO MUNDIAL 500.030";60;0;0;UN
439;MFE;CHAVE DE ABERTURA VARIÁVEL CREMELHEIRA TIPO FACOM 105.375 OU EXPERT;67;0;0;UN
440;MFE;CHAVE DE ABERTURA VARIÁVEL CRESCENTE CROMADA TIPO FACOM 113A.12C OU EXPERT;74;150;1;UN
441;MFE;"CHAVE DE CANOS 12"" (305MM) TIPO GERMANY OU EXPERT";49;0;1;UN
442;MFE;"CHAVE DE CANOS 9"" (255MM) TIPO GERMANY OU EXPERT";48;0;0;UN
443;MFE;CHAVE DE ESTRELA GRANDE BELLOTA REF.66220PH1;44;0;0;UN
444;MFE;CHAVE DE ESTRELA GRANDE BELLOTA REF.66220PH2;44;0;0;UN
445;MFE;CHAVE DE FENDA GRANDE BELLOTA REF.66210-8X175;45;0;0;UN
446;MFE;CHAVE DE FENDA PEQUENA BELLOTA REF.66210-5X125;46;0;0;UN
447;MAQ;CHAVE DE IMPACTO LXT, MOD. DTW 1002ZJ, À BATERIA 18V 5AH INCLUINDO MALA MAKPAC, 2 BATERIAS, CARREGADOR_ TIPO MAKITA ;116;0;1;UN
448;MFE;"CHAVE DE ROQUETE DE 1/2"" (SÓ CHAVE) DO TIPO EXPERT";50;190;1;UN
449;MAQ;CHAVE IMPACTO 18V A BATERIA_ TIPO MAKITA DTW1002ZJ INCUINDO MALA MAKPAC TIPO 2, CARREGADOR E 2 BATERIAS 18V-5A;110;0;0;UN
450;MAQ;CHAVE IMPACTO 18V A BATERIA_ TIPO MAKITA DTW1002ZJ INCUINDO MALA MAKPAC TIPO 2, CARREGADOR E 2 BATERIAS 18V-5A MAKITA;117;0;0;UN
451;MAQ;"CHAVE IMPACTO DE 1/4"" 18V A BATERIA 5.0AH BL_ TIPO MAKITA DTD153RTJ INCUINDO MALA MAKPAC TIPO 2, CARREGADOR E 2 BATERIAS 18V-5A MAKITA";134;0;0;UN
452;MFE;CHAVE ISOLADA 1000V P/ PARAFUSOS DE BORNEO TIPO FACOM ATB.J4TVE OU EXPERT;73;0;0;UN
453;MFE;CHAVE ISOLADA 1000V P/ PARAFUSOS DE BORNEO TIPO FACOM ATB.J8TVE OU EXPERT;73;0;0;UN
454;MFE;CHAVE ISOLADA 1000V P/ PARAFUSOS DE FENDA TIPO FACOM AT2.5X50VE OU EXPERT;73;0;0;UN
455;MFE;CHAVE ISOLADA 1000V P/ PARAFUSOS DE FENDA TIPO FACOM AT3.5X75VE OU EXPERT;73;0;0;UN
456;MFE;CHAVE ISOLADA 1000V P/ PARAFUSOS DE FENDA TIPO FACOM AT5.5X125VE OU EXPERT;74;0;0;UN
457;MFE;CHAVE ISOLADA 1000V P/ PARAFUSOS DE FENDA TIPO FACOM AT8X200VE OU EXPERT;72;0;0;UN
458;MFE;CHAVE ISOLADA 1000V P/ PARAFUSOS DE PHILIPHS TIPO FACOM ATP0X75VE OU EXPERT;75;0;0;UN
459;MFE;CHAVE ISOLADA 1000V P/ PARAFUSOS DE PHILIPHS TIPO FACOM ATP2X125VE OU EXPERT;76;0;0;UN
460;MFE;CHAVE ISOLADA 1000V P/ PARAFUSOS DE PHILIPHS TIPO FACOM ATP3X150VE OU EXPERT;76;0;0;UN
461;MFE;CHAVE ISOLADA 1000V P/ PARAFUSOS DE PHILIPHS TIPO FACOM ATP4X200VE OU EXPERT;76;0;0;UN
462;MFE;CHAVE ISOLADA 1000V P/ PARAFUSOS DE POZIDRIV TIPO FACOM ATD1X100VE OU EXPERT;76;0;0;UN
463;MFE;CHAVE ISOLADA 1000V P/ PARAFUSOS DE POZIDRIV TIPO FACOM ATD2X125VE OU EXPERT;76;0;0;UN
464;MFE;CHAVE ISOLADA 1000V P/ PARAFUSOS DE POZIDRIV TIPO FACOM ATD3X150VE OU EXPERT;76;0;0;UN
465;MFE;CHAVE MACHO INOX SEXTAVADA TAMANHO 12MM_ TIPO FACOM OU EXPERT;61;0;0;UN
466;MFE;CHAVE MACHO INOX SEXTAVADA TAMANHO 14MM_ TIPO FACOM OU EXPERT;61;0;0;UN
467;MFE;CHAVE MACHO INOX SEXTAVADA TAMANHO 17MM_ TIPO FACOM OU EXPERT;61;0;0;UN
468;MFE;CHAVE MACHO INOX SEXTAVADA TAMANHO 19MM_ TIPO FACOM OU EXPERT;61;0;0;UN
469;MFE;CHAVE MACHO INOX SEXTAVADA TAMANHO 7MM_ TIPO FACOM OU EXPERT;60;0;0;UN
470;MFE;CHAVE MACHO INOX SEXTAVADA TAMANHO 9MM_ TIPO FACOM OU EXPERT;60;0;0;UN
471;MFE;CHAVE MISTA DE ROQUETE MÉTRICA 20 TIPO FACOM 467B.20 OU EXPERT;62;0;0;UN
472;MFE;CHAVE MISTA DE ROQUETE MÉTRICA 21 TIPO FACOM 467B.21 OU EXPERT;62;0;0;UN
473;MFE;CHAVE MISTA DE ROQUETE MÉTRICA 22 TIPO FACOM 467B.22 OU EXPERT;62;0;0;UN
474;MFE;CHAVE MISTA DE ROQUETE MÉTRICA 24 TIPO FACOM 467B.24 OU EXPERT;62;300;1;UN
475;MFE;CHAVE MISTA DE ROQUETE MÉTRICA 27 TIPO FACOM 467B.27 OU EXPERT;62;291;1;UN
476;MFE;CHAVE MISTA DE ROQUETE MÉTRICA 30 TIPO FACOM 467B.30 OU EXPERT;62;0;0;UN
477;MFE;CHAVE MISTA DE ROQUETE MÉTRICA 32 TIPO FACOM 467B.32 OU EXPERT;62;0;0;UN
478;MFE;CHAVE PARAFUSOS DE FENDA TIPO FACOM ANF-PROTWIST SHOCK ATF8X150 OU EXPERT;73;0;0;UN
479;MFE;CHAVE PARAFUSOS DE FENDA TIPO FACOM AN-PROTWIST SHOCK AT2X75 OU EXPERT;70;0;0;UN
480;MFE;CHAVE PARAFUSOS DE FENDA TIPO FACOM AN-PROTWIST SHOCK AT3X100 OU EXPERT;71;0;0;UN
481;MFE;CHAVE PARAFUSOS DE FENDA TIPO FACOM AN-PROTWIST SHOCK AT4X100 OU EXPERT;71;0;0;UN
482;MFE;CHAVE PARAFUSOS DE FENDA TIPO FACOM AN-PROTWIST SHOCK AT5,5X125 OU EXPERT;73;0;0;UN
483;MFE;CHAVE PARAFUSOS DE FENDA TIPO FACOM AN-PROTWIST SHOCK AT5,5X35 OU EXPERT;72;0;0;UN
484;MFE;CHAVE PARAFUSOS DE FENDA TIPO FACOM AN-PROTWIST SHOCK AT6,5X125 OU EXPERT;73;0;0;UN
485;MFE;CHAVE PARAFUSOS PH TIPO FACOM AN-PROTWIST SHOCK ATP0X75 OU EXPERT;65;0;0;UN
486;MFE;CHAVE PARAFUSOS PH TIPO FACOM AN-PROTWIST SHOCK ATP1X100 OU EXPERT;66;0;0;UN
487;MFE;CHAVE PARAFUSOS PH TIPO FACOM AN-PROTWIST SHOCK ATP2X35 OU EXPERT;65;0;0;UN
488;MFE;CHAVE PARAFUSOS PH TIPO FACOM AWPH-PROTWIST SHOCK ATWPH1X100 OU EXPERT;70;0;0;UN
489;MFE;CHAVE PARAFUSOS PH TIPO FACOM AWPH-PROTWIST SHOCK ATWPH2X125 OU EXPERT;70;0;0;UN
490;MFE;CHAVE PARAFUSOS PH TIPO FACOM AWPH-PROTWIST SHOCK ATWPH3X150 OU EXPERT;70;0;0;UN
491;MFE;CHAVE PARAFUSOS PH TIPO FACOM AWPH-PROTWIST SHOCK ATWPH4X200 OU EXPERT;70;0;0;UN
492;MFE;CHAVE PARAFUSOS PZ TIPO FACOM AND-PROTWIST SHOCK ATD0X75 OU EXPERT;66;0;0;UN
493;MFE;CHAVE PARAFUSOS PZ TIPO FACOM AND-PROTWIST SHOCK ATD1X100 OU EXPERT;67;0;0;UN
494;MFE;CHAVE PARAFUSOS PZ TIPO FACOM AND-PROTWIST SHOCK ATD2X35 OU EXPERT;66;0;0;UN
495;MFE;CHAVE PARAFUSOS PZ TIPO FACOM AWDH-PROTWIST SHOCK ATWDH1X100 OU EXPERT;70;0;0;UN
496;MFE;CHAVE PARAFUSOS PZ TIPO FACOM AWDH-PROTWIST SHOCK ATWDH2X125 OU EXPERT;70;0;0;UN
497;MFE;CHAVE PARAFUSOS PZ TIPO FACOM AWDH-PROTWIST SHOCK ATWDH3X150 OU EXPERT;70;0;0;UN
498;MFE;CHAVE PARAFUSOS PZ TIPO FACOM AWDH-PROTWIST SHOCK ATWDH4X200 OU EXPERT;70;0;0;UN
499;MFE;CHAVE TORX LONGA EM AÇO INOXIDAVEL Nº T55;41;0;0;UN
500;MFE;CHAVE TORX LONGA EM AÇO INOXIDAVEL Nº T6;40;0;0;UN
501;MFE;CHAVE TORX LONGA EM AÇO INOXIDAVEL Nº T60;41;0;0;UN
502;MFE;CHAVE TORX LONGA EM AÇO INOXIDAVEL Nº T7;40;0;0;UN
503;MFE;CHAVE TORX LONGA EM AÇO INOXIDAVEL Nº T8;40;0;0;UN
504;MFE;CHAVE TUBULAR COM CABO T DUPLO FORGADA MÉTRICA 22 TIPO FACOM 97.20X22 OU EXPERT;79;0;0;UN
505;MFE;CHAVE TUBULAR COM CABO T DUPLO FORGADA MÉTRICA 23 TIPO FACOM 97.21X23 OU EXPERT;79;0;0;UN
506;MFE;CHAVE TUBULAR COM CABO T DUPLO FORGADA MÉTRICA 26 TIPO FACOM 97.24X26 OU EXPERT;79;0;0;UN
507;PICH;CIFÃO DE PAVIMENTO 40X50X110 PVC DIN;36;3;1;UN
508;PICH;CIFÃO DE PAVIMENTO 50X75X125 PVC DIN;36;1;1;UN
509;TRO;CIMENTO COLA WEBER CINZENTO_25KG;32;8;2;UN
510;CAR;CINTA DE LIXA 100 X 675MM GRÃO 100;34;33;2;UN
511;CAR;CINTA DE LIXA 100 X 675MM GRÃO 60;33;33;2;UN
512;CAR;CINTA DE LIXA 100 X 675MM GRÃO 80;33;33;2;UN
513;CAR;COLA BRANCA 1KG_ TIPO TABACO;28;5;3;UN
514;CAR;COLA BRANCA PARA MADEIRA_ BISNAGA_1KG;37;0;1;UN
515;DIV;COLA CONTACTO_1LTS;18;43;3;UN
516;PICH;COLA DE PVC C/ PINCEL DE 1/4L;29;12;3;UN
517;DIV;COLA E VEDA BRANCO 290ML TIPO SOUDAL T-REX;42;24;4;UN
518;DIV;COLA E VEDA CINZENTO 290ML TIPO SOUDAL T-REX;44;22;3;UN
519;DIV;COLA E VEDA NAÚTICO BRANCO;26;0;0;UN
520;DIV;COLA E VEDA TRANSPARENTE 290ML TIPO SOUDAL T-REX CRISTAL;56;23;3;UN
521;EPI'S;COLETE AV MULTIBOLSOS TAM - L;29;0;1;UN
522;EPI'S;COLETE AV MULTIBOLSOS TAM - M;29;0;0;UN
523;EPI'S;COLETE AV MULTIBOLSOS TAM - S;29;0;0;UN
524;EPI'S;COLETE AV MULTIBOLSOS TAM - XL;30;0;0;UN
525;EPI'S;COLETE AV MULTIBOLSOS TAM - XXL;31;0;0;UN
526;EPI'S;COLETE MULTINORMAS IGNIFUGO CORATO SIOEN TAM - L;48;0;0;UN
527;EPI'S;COLETE MULTINORMAS IGNIFUGO CORATO SIOEN TAM - M;48;0;0;UN
528;EPI'S;COLETE MULTINORMAS IGNIFUGO CORATO SIOEN TAM - XL;49;0;0;UN
529;MFE;COLHER PEDREIRO CANTOS CORTADOS 165 X 92MM BELLOTA REF.5842-F;61;-2;1;UN
530;MFE;COMPASSO PERNAS DIREITAS TIPO FACOM DELA.1901.07 OU EXPERT;58;0;0;UN
531;MAQ;COMPRESSOR 6L 1,5HP DN200/8/6_ TIPO STANLEY, INCLUINDO KIT DE MANGUEIRAS;72;0;0;UN
532;MAQ;COMPRESSOR COM OLEO DE 50L_ TIPO STANLEY FATMAX;47;0;0;UN
533;MAQ;COMPRESSOR DE 50L TIPO STANLEY FATMAX;37;0;0;UN
534;ELE;COMUTADOR DE ESCADA DUPLO EXTERIOR IP65;39;0;0;UN
535;ELE;COMUTADOR DE ESCADA DUPLOS INTERIORES BRANCOS;45;0;1;UN
536;ELE;COMUTADOR DE ESCADA EXTERIOR IP65;33;8;1;UN
537;ELE;COMUTADOR DE ESCADA INTERIORES_TIPO EFAPEL;42;32;3;UN
538;ELE;COMUTADOR DE LUSTRE EXTERIOR IP65;33;0;1;UN
539;ELE;COMUTADOR DE LUSTRE INTERIORES_TIPO EFAPEL;42;35;3;UN
540;TRA;CONE DE TRÂNSITO FLEXÍVEIS EM BORRACHA 350 X 500MM;50;0;0;UN
541;ELE;CONECTOR FÊMEA RJ45 CAT6;24;0;1;UN
542;ELE;CONECTOR P/FIO 2,5 IP65 TIPO BUCIM;34;912;1;UN
543;DIV;"CONETOR ENGATE RÁPIDO 1"" LATÃO";30;8;1;UN
544;DIV;"CONETOR ENGATE RÁPIDO 3/4"" LATÃO";32;10;1;UN
545;MFE;"CONJUNTO CHAVE TORX LONGAS EM AÇO INOXIDADO NºT9 AO T50_ ANEXO""LOTE2_1.92_TORX""";79;0;1;UN
546;MFE;CONJUNTO DE 4 ALICATES DE FREIOS, TIPO EXPERT;45;0;0;UN
547;MFE;"CONJUNTO DE BROCAS CRANIANAS P/ MADEIRA 13PEÇAS_ TIPO BOSCH _ ANEXO ""LOTE2_1.94_CRANEANAS""";90;0;0;UN
548;MFE;CONJUNTO DE CHAVES DE BOCAS 6-22MM DO TIPO EXPERT;49;0;0;UN
549;MFE;"CONJUNTO DE LIMA TRIANGULAR P/ AFIAR SERROTE 0,5_ ANEXO ""LOTE2_1.96_LIMAS""";74;0;0;UN
550;ELE;CONTACTOR BOBINE 230/400V 25A;29;5;1;UN
551;ELE;CONTACTOR BOBINE 230/400V 60A;29;0;1;UN
552;EPI'S;CORDA 12MM C/ 1,5MTS COMPRIMENTO COM MOSQUETÃO E GANCHO;55;0;0;UN
553;EPI'S;CORDA DE LIGAÇÃO COM ABSORÇÃO DE ENERGIA 1,5MTS;47;0;0;UN
554;DIV;CORDA NAUTICA DE 10MM;21;200;1;UN
555;DIV;CORDA NAUTICA DE 3MM;20;300;1;UN
556;SER;CORRENTE INOX P/ EXTENSÃO 4 X 3MM;33;50;1;UN
557;DIV;CORRETOR;8;0;0;UN
558;MAQ;CORTADOR DE CERÂMICA 660MM TS-66 MAX MOD. 18922, COM MALA_ TIPO RUBI;68;0;1;UN
559;FER;CORTADOR P/ TUBO BICONE DE 4 ROLETOS GAMA PRO;45;0;0;UN
560;DIV;CORTICITE 5MM;13;8;1;UN
561;PINT;CUPRINOL (TRATAMENTO PARA O BICHO DA MADEIRA)_1LTS;50;6;1;UN
562;PICH;CURVA 45º 110 PVC DIN;21;0;1;UN
563;PICH;CURVA 45º 32 PVC DIN;20;0;1;UN
564;PICH;CURVA 45º 40 PVC DIN;20;5;3;UN
565;PICH;CURVA 45º 50 PVC DIN;20;12;3;UN
566;PICH;CURVA 45º 63 PVC DIN;20;0;1;UN
567;PICH;CURVA 45º 75 PVC DIN;20;3;2;UN
568;PICH;CURVA 45º 90 PVC DIN;20;-2;2;UN
569;PICH;CURVA 45º PPR 20;16;6;1;UN
