Ordem;Família;Material;#;Stock inical;nº NE's;UN
54;ELE;ANGULO EXTERNO 110X50 EFAPEL;28;68;3;UN
55;ELE;ANGULO EXTERNO 32X16 EFAPEL;27;60;3;UN
56;ELE;ANGULO INTERNO 110X50 EFAPEL;28;70;3;UN
57;ELE;ANGULO INTERNO 32X16 EFAPEL;27;53;3;UN
58;PICH;ANILHA 15 PARA BICONE;21;100;1;UN
59;DIV;ANILHA C/VEDANTE M6;19;0;1;UN
60;DIV;ANILHA INOX M10;15;0;1;UN
61;DIV;ANILHA INOX M10 ABA LARGA;25;47;1;UN
62;DIV;ANILHA INOX M12;15;116;1;UN
63;DIV;ANILHA INOX M12 ABA LARGA;25;0;1;UN
64;DIV;ANILHA INOX M14;15;18;1;UN
65;DIV;ANILHA INOX M14 ABA LARGA;25;0;1;UN
66;DIV;ANILHA INOX M16;15;0;1;UN
67;DIV;ANILHA INOX M16 ABA LARGA;25;22;1;UN
68;DIV;ANILHA INOX M18 ABA LARGA;25;0;1;UN
69;DIV;ANILHA INOX M6;14;40;1;UN
70;DIV;ANILHA INOX M8;14;16;1;UN
71;DIV;ANILHA INOX M8 ABA LARGA;24;502;2;UN
72;DIV;ANILHA ZN M10;13;973;2;UN
73;DIV;ANILHA ZN M10 ABA LARGA;23;616;1;UN
74;DIV;ANILHA ZN M12;13;0;1;UN
75;DIV;ANILHA ZN M12 ABA LARGA;23;0;1;UN
76;DIV;ANILHA ZN M14;13;10;1;UN
77;DIV;ANILHA ZN M14 ABA LARGA;23;132;1;UN
78;DIV;ANILHA ZN M16;13;15;1;UN
79;DIV;ANILHA ZN M16 ABA LARGA;23;736;1;UN
80;DIV;ANILHA ZN M6;12;858;3;UN
81;DIV;ANILHA ZN M6 ABA LARGA;22;746;2;UN
82;DIV;ANILHA ZN M8;12;947;3;UN
83;DIV;ANILHA ZN M8 ABA LARGA;22;0;1;UN
84;PINT;ANTI-SALITRA;12;21;1;UN
85;MFE;"APANHA FOLHAS DE PISCINA DE CABEÇAL COM BOLSA_ ANEXO "" LOTE2_1.15_BOLSA FOLHAS""";79;6;1;UN
86;MAQ;APARELHO DE SOLDAR MULTIPROCESSOS - TIG - MIG - MMA DE +/- 250 A;64;0;0;UN
87;MAQ;APARELHO DE SOLDAR PORTÁTIL_ INVERTER ELECTREX DC203, INCLUIDO TODOS ACESSÓRIOS DE SOLDA COM ALICATE DE MASSA, LANÇA DE SOLDA E AFINS;133;0;0;UN
88;MAQ;APARELHO DE TESTADOR DE CABOS DE REDE (RJ45 | RJ11)_ TIPO UNI- T;64;2;1;UN
89;MAQ;APARELHO DE TESTE DE REDE PARA RJ45 MAKITA;42;13;1;UN
90;MAQ;APARELHO SOLDAR 200I 200AMP, COM MALA_ TIPO INVERTER CORE SOLTER;64;0;1;UN
91;DIV;ARAME ZN 12/8;13;0;1;M
92;DIV;ARAME ZN PLASTIFICADO 12/8;26;500;1;M
93;ELE;ARMADURA DE EMERGÊNCIA 3/4W LED 4000K NÃO PERMANENTE;52;24;1;UN
94;ELE;ARMADURA DE EMERGÊNCIA 3/4W LED 4000K PERMANENTE;48;4;1;UN
95;ELE;ARMADURA DE EMERGÊNCIA 6W;25;4;1;UN
96;ELE;ARMADURA DE EMERGÊNCIA 8W;25;0;1;UN
97;ELE;ARMADURA DE EMERGÊNCIA LED ESTANQUE;35;5;1;UN
98;ELE;ARMADURA EXTERIOR  IP65 2X120CM LED;35;31;3;UN
99;ELE;ARMADURA EXTERIOR IP65 1X120CM LED;34;26;3;UN
100;ELE;ARMADURA EXTERIOR IP65 1X150CM LED;34;6;3;UN
101;ELE;ARMADURA EXTERIOR IP65 1X60CM LED;33;33;3;UN
102;ELE;ARMADURA EXTERIOR IP65 2X150CM LED;34;-1;3;UN
103;ELE;ARMADURA LED T5 12W/6000K 1500LUMEN 120CM;41;0;1;UN
104;ELE;ARMADURA LED T5 14W/ 6000K 1500LUMEN 120CM;42;0;1;UN
105;ELE;ARMADURA SCHRÉDER - PIANO;25;3;2;UN
106;ELE;ARMADURA SCHRÉDER - VOLTANA 3 COM  TELEGESTÃO;45;10;1;UN
107;ELE;ARMADURA SCHRÉDER - VOLTANA 4 COM  TELEGESTÃO;45;30;2;UN
108;EPI'S;ARNES;5;0;1;UN
109;PICH;ARO DE PVC 110;14;10;1;UN
110;PICH;ARO DE PVC 125;14;1;1;UN
111;PICH;ARO DE PVC 90;13;10;1;UN
112;ELE;ARRANCADOR S10;14;83;1;UN
113;ELE;ARRANCADOR S2;13;30;1;UN
114;PICH;AUMENTO CROMADO 5CM 1/2 X 1/2 M/F;33;29;1;UN
115;PICH;AUMENTO REDUÇÃO 5CM 1/2 X 3/8 M/F;33;10;1;UN
116;DIV;AURICULARES C/ARMAÇÃO_ ABAFADORES;33;0;0;UN
117;DIV;AURICULARES DE PROTEÇÃO DE OUVIDO_PAR;37;6;1;UN
118;PICH;AUTOCLISMO DE PLÁSTICO DE DOIS BOTÕES DO TIPO OLI;49;7;2;UN
119;EPI'S;AVENTAL SOLDADOR;16;0;0;UN
120;ELE;BALASTRO ELETRONICO 13W 4P;26;4;1;UN
121;ELE;BALASTRO ELETRÓNICO LC 81W 1200-1750MA FLEX C IPADV;51;20;2;UN
122;ELE;BALASTRO ELETRONICO T8 2X36W;28;0;1;UN
123;ELE;BALASTRO ELETRONICO T8 2X58W;28;23;1;UN
124;ELE;BALASTRO ELETRONICO TL5 1X 54W;30;23;1;UN
125;ELE;BALASTRO ELETRONICO TL5 1X14/35W;32;0;1;UN
126;ELE;BALASTRO ELETRONICO TL5 1X35W;29;1;1;UN
127;ELE;BALASTRO ELETRONICO TL5 1X49W;29;0;1;UN
128;ELE;BALASTRO ELETRONICO TL5 1X58W;29;0;1;UN
129;ELE;BALASTRO ELETRONICO TL5 2X49W;29;5;1;UN
130;ELE;BALASTRO ELETRONICO TL5 2X54W;29;15;1;UN
131;MFE;BALDE DE CONSTRUÇÃO/PRETO 10 LITROS;35;0;1;UN
132;PINT;BALDE DE PINTURA EM PLÁSTICO C/GRELHA METÁLICA DE 13LTS;55;14;2;UN
133;SER;BARRA CHATA 100 X 15MM;22;120;1;M
134;SER;BARRA CHATA 16 X 3MM;20;54;1;M
135;SER;BARRA CHATA 20 X 5MM;20;78;1;M
136;SER;BARRA CHATA 25 X 5MM;20;38;1;M
137;SER;BARRA CHATA 30 X 5MM;20;78;1;M
138;SER;BARRA CHATA 30 X 8MM;20;30;1;M
139;SER;BARRA CHATA 35 X 5MM;20;31;1;M
140;SER;BARRA CHATA 40 X 5MM;20;42;1;M
141;SER;BARRA CHATA 40 X 8MM;20;30;1;M
142;SER;BARRA CHATA 50 X 20MM;21;18;1;M
143;SER;BARRA CHATA 50 X 5MM;20;42;1;M
144;SER;BARRA CHATA 50 X 8MM;20;36;1;M
145;SER;BARRA CHATA 60 X 10MM;21;30;1;M
146;SER;BARRA CHATA 60 X 6MM;20;30;1;M
147;SER;BARRA CHATA 70 X 6MM;20;30;1;M
148;PICH;BARRA DE ESTANHO;16;10;1;UN
149;ELE;BARRA DE LIGADORES DE BORNES 25MM;33;3;1;UN
150;ELE;BARRA DE LIGADORES DE BORNES 35MM;33;-1;1;UN
151;ELE;BARRAMENTO 4X100A;17;0;1;UN
152;ELE;BARRAMENTO 4X80A;16;7;1;UN
153;FER;BATENTE DE PORTA BORRACHA;25;1;2;UN
154;FER;BATENTE DE PORTA EM INOX COM PERNO;34;40;2;UN
155;FER;BATENTE DE PORTA INOX;21;2;1;UN
156;MAQ;BERBEQUIM APARAFUSADOR 18V LXT 50 NM 5.0 AH_ TIPO MAKITA DDF485RTJ, INCUINDO MALA MAKPAC TIPO 2, CARREGADOR E 2 BATERIAS 18V-5A;127;0;1;UN
157;MAQ;BERBEQUIM APARAFUSADOR 18V LXT 50 NM 5.0 AH_ TIPO MAKITA DDF485RTJ, INCUINDO MALA MAKPAC TIPO 2, CARREGADOR E 2 BATERIAS 18V-5A MAKITA;134;0;0;UN
158;MAQ;BERBEQUIM APARAFUSADOR 18V LXT 50NM 5.0AH, INCLUINDO MALA MAKPAC, 2 BATERIAS, CARREGADOR_ TIPO MAKITA ;102;0;1;UN
159;DIV;BIT PONTEIRA COMPRIDA  PZ1 X 50MM;33;99;1;UN
160;DIV;BIT PONTEIRA COMPRIDA  PZ2 X 50MM;33;53;1;UN
161;DIV;BIT PONTEIRA COMPRIDA  PZ3 X 50MM;33;5,5;1;UN
162;DIV;BIT PONTEIRA COMPRIDA TORX 10 X 50MM;36;3;1;UN
163;DIV;BIT PONTEIRA COMPRIDA TORX 15 X 50MM;36;3;1;UN
164;DIV;BIT PONTEIRA COMPRIDA TORX 20 X 50MM;36;3;1;UN
165;DIV;BIT PONTEIRA COMPRIDA TORX 25 X 50MM;36;3;1;UN
166;DIV;BIT PONTEIRA COMPRIDA TORX 8 X 50MM;35;44;1;UN
167;DIV;BIT PONTEIRA CURTA PH1 X 25MM;29;15;1;UN
